id_point,id_route,id_road,id_segment,latitude,longitude,speed
P0001,RT01,AGR,S001,-0.29755,-78.46091,70
P0002,RT01,AGR,S001,-0.29719,-78.4612,70
P0003,RT01,AGR,S001,-0.29655,-78.46152,70
P0004,RT01,AGR,S001,-0.29605,-78.46169,70
P0005,RT01,AGR,S001,-0.29447,-78.46261,70
P0006,RT01,AGR,S001,-0.29299,-78.46358,70
P0007,RT01,AGR,S001,-0.29174,-78.46438,70
P0008,RT01,AGR,S001,-0.29065,-78.46514,70
P0009,RT01,AGR,S002,-0.29022,-78.46544,90
P0010,RT01,AGR,S002,-0.28947,-78.46593,90
P0011,RT01,AGR,S002,-0.28848,-78.46658,90
P0012,RT01,AGR,S002,-0.28703,-78.46755,90
P0013,RT01,AGR,S002,-0.28538,-78.46864,90
P0014,RT01,AGR,S002,-0.28388,-78.46962,90
P0015,RT01,AGR,S002,-0.2826,-78.47044,90
P0016,RT01,AGR,S003,-0.28166,-78.47105,70
P0017,RT01,AGR,S003,-0.28077,-78.47178,70
P0018,RT01,AGR,S003,-0.27999,-78.47296,70
P0019,RT01,AGR,S004,-0.27951,-78.47456,90
P0020,RT01,AGR,S004,-0.27924,-78.47694,90
P0021,RT01,AGR,S004,-0.27889,-78.47921,90
P0022,RT01,AGR,S005,-0.27837,-78.48127,90
P0023,RT01,AGR,S005,-0.27761,-78.48367,90
P0024,RT01,AGR,S005,-0.27687,-78.48597,90
P0025,RT01,AGR,S006,-0.27611,-78.4883,70
P0026,RT01,AGR,S006,-0.27462,-78.49009,70
P0027,RT01,AGR,S006,-0.27239,-78.49031,70
P0028,RT01,AGR,S007,-0.27093,-78.48937,90
P0029,RT01,AGR,S007,-0.27045,-78.48869,90
P0030,RT01,AGR,S007,-0.26995,-78.48797,90
P0031,RT01,AGR,S008,-0.26962,-78.48753,70
P0032,RT01,AGR,S008,-0.26845,-78.48669,70
P0033,RT01,AGR,S008,-0.26706,-78.48648,70
P0034,RT01,AGR,S009,-0.26585,-78.48679,90
P0035,RT01,AGR,S009,-0.26472,-78.4874,90
P0036,RT01,AGR,S010,-0.26351,-78.48798,70
P0037,RT01,AGR,S010,-0.26212,-78.48826,70
P0038,RT01,AGR,S010,-0.26054,-78.48787,70
P0039,RT01,AGR,S011,-0.25961,-78.48721,90
P0040,RT01,AGR,S011,-0.25848,-78.48611,90
P0041,RT01,AGR,S011,-0.2572,-78.48505,90
P0042,RT01,AGR,S012,-0.25585,-78.48437,90
P0043,RT01,AGR,S012,-0.25474,-78.48391,90
P0044,RT01,AGR,S012,-0.25351,-78.48341,90
P0045,RT01,AGR,S013,-0.25224,-78.48292,70
P0046,RT01,AGR,S013,-0.25122,-78.48273,70
P0047,RT01,AGR,S013,-0.24996,-78.48282,70
P0048,RT01,AGR,S014,-0.24869,-78.48331,90
P0049,RT01,AGR,S014,-0.24691,-78.4843,90
P0050,RT01,AGR,S015,-0.24518,-78.48492,90
P0051,RT01,AGR,S015,-0.24393,-78.48515,90
P0052,RT01,AGR,S015,-0.24281,-78.48542,90
P0053,RT01,AGR,S016,-0.24169,-78.48561,90
P0054,RT01,AGR,S016,-0.24028,-78.48535,90
P0055,RT01,AGR,S017,-0.23902,-78.48485,90
P0056,RT01,AGR,S017,-0.23796,-78.48452,90
P0057,RT01,AGR,S017,-0.23649,-78.48426,90
P0058,RT01,AGR,S018,-0.23539,-78.48421,90
P0059,RT01,AGR,S018,-0.23396,-78.48429,90
P0060,RT01,AGR,S018,-0.23204,-78.48441,90
P0061,RT01,AGR,S019,-0.23038,-78.48455,70
P0062,RT01,AGR,S019,-0.22925,-78.485,70
P0063,RT01,AGR,S020,-0.22834,-78.48581,90
P0064,RT01,AGR,S020,-0.22773,-78.48667,90
P0065,RT01,AGR,S020,-0.22709,-78.48758,90
P0066,RT01,AGR,S021,-0.2267,-78.48815,70
P0067,RT01,AGR,S021,-0.2265,-78.48982,70
P0068,RT01,AGR,S021,-0.22719,-78.49134,70
P0069,RT01,AGR,S021,-0.2271,-78.49302,70
P0070,RT01,AGR,S022,-0.22739,-78.49422,90
P0071,RT01,AGR,S022,-0.22806,-78.49507,90
P0072,RT01,AGR,S022,-0.22923,-78.4965,90
P0073,RT01,AGR,S023,-0.22974,-78.4974,90
P0074,RT01,AGR,S023,-0.23048,-78.49829,90
P0075,RT01,AGR,S023,-0.23182,-78.49994,90
P0076,RT01,AGR,S023,-0.23261,-78.5013,90
P0077,RT01,AVI,S024,-0.2331,-78.5022,50
P0078,RT01,AVI,S024,-0.23286,-78.50299,50
P0079,RT01,AVI,S025,-0.23224,-78.50294,70
P0080,RT01,AVI,S025,-0.23196,-78.50272,70
P0081,RT01,AVI,S025,-0.23146,-78.50236,70
P0082,RT01,AVI,S025,-0.2309,-78.50196,70
P0083,RT01,AVI,S025,-0.23038,-78.50157,70
P0084,RT01,AVI,S025,-0.22994,-78.50105,70
P0085,RT01,AVI,S025,-0.22943,-78.50077,70
P0086,RT01,AVI,S026,-0.22896,-78.5007,70
P0087,RT01,AVI,S026,-0.22865,-78.50063,70
P0088,RT01,AVI,S026,-0.22813,-78.50052,70
P0089,RT01,AVI,S026,-0.22762,-78.50023,70
P0090,RT01,AVI,S026,-0.22706,-78.49963,70
P0091,RT01,AVI,S026,-0.22667,-78.499,70
P0092,RT01,AVI,S026,-0.22634,-78.49832,70
P0093,RT01,AVI,S026,-0.22584,-78.4977,70
P0094,RT01,AVI,S026,-0.22534,-78.49736,70
P0095,RT01,AVI,S026,-0.22494,-78.49711,70
P0096,RT01,AVI,S027,-0.22479,-78.49702,70
P0097,RT01,AVI,S027,-0.22444,-78.49683,70
P0098,RT01,AVI,S027,-0.22409,-78.49662,70
P0099,RT01,AVI,S027,-0.22353,-78.49626,70
P0100,RT01,AVI,S027,-0.22301,-78.49595,70
P0101,RT01,AVI,S027,-0.22239,-78.49557,70
P0102,RT01,AVI,S027,-0.22189,-78.49535,70
P0103,RT01,AVI,S027,-0.22153,-78.49527,70
P0104,RT01,AVI,S027,-0.22108,-78.4952,70
P0105,RT01,AVI,S028,-0.2206,-78.49511,70
P0106,RT01,AVI,S028,-0.22006,-78.49488,70
P0107,RT01,AVI,S028,-0.21945,-78.4943,70
P0108,RT01,AVI,S028,-0.21913,-78.49368,70
P0109,RT01,AVI,S028,-0.2189,-78.49315,70
P0110,RT01,AVI,S028,-0.21862,-78.49262,70
P0111,RT01,AVI,S028,-0.21826,-78.492,70
P0112,RT01,AVI,S029,-0.21797,-78.49151,70
P0113,RT01,AVI,S029,-0.21735,-78.4912,70
P0114,RT01,AVI,S029,-0.21673,-78.49106,70
P0115,RT01,AVI,S029,-0.21604,-78.49092,70
P0116,RT01,AVI,S029,-0.21542,-78.49072,70
P0117,RT01,AVI,S029,-0.21496,-78.49043,70
P0118,RT01,AVI,S029,-0.21449,-78.4901,70
P0119,RT01,AVI,S029,-0.21403,-78.48974,70
P0120,RT01,AVI,S029,-0.2135,-78.48934,70
P0121,RT01,AVI,S029,-0.21309,-78.48891,70
P0122,RT01,DMQ,S030,-0.21309,-78.48892,50
P0123,RT01,DMQ,S030,-0.21305,-78.48859,50
P0124,RT01,DMQ,S030,-0.21281,-78.48837,50
P0125,RT01,DMQ,S031,-0.21252,-78.48894,50
P0126,RT01,DMQ,S031,-0.21268,-78.48959,70
P0127,RT01,DMQ,S031,-0.21264,-78.49021,70
P0128,RT01,DMQ,S031,-0.21258,-78.49072,70
P0129,RT01,DMQ,S031,-0.21252,-78.49125,70
P0130,RT01,DMQ,S031,-0.2124,-78.49174,70
P0131,RT01,DMQ,S031,-0.21212,-78.49214,70
P0132,RT01,DMQ,S031,-0.21182,-78.4925,70
P0133,RT01,DMQ,S031,-0.21154,-78.49282,70
P0134,RT01,DMQ,S031,-0.21116,-78.49322,70
P0135,RT01,DMQ,S031,-0.21087,-78.49347,70
P0136,RT01,DMQ,S031,-0.21047,-78.49363,70
P0137,RT01,DMQ,S032,-0.21003,-78.49396,70
P0138,RT01,DMQ,S032,-0.20976,-78.49426,70
P0139,RT01,DMQ,S032,-0.20944,-78.4946,70
P0140,RT01,DMQ,S032,-0.20921,-78.49488,70
P0141,RT01,DMQ,S032,-0.20893,-78.49519,70
P0142,RT01,DMQ,S033,-0.20853,-78.4953,70
P0143,RT01,DMQ,S033,-0.2082,-78.49492,70
P0144,RT01,DMQ,S033,-0.20782,-78.49451,70
P0145,RT01,DMQ,S033,-0.20726,-78.49387,70
P0146,RT01,DMQ,S033,-0.20663,-78.4932,70
P0147,RT01,DMQ,S033,-0.20606,-78.49261,70
P0148,RT01,DMQ,S033,-0.2056,-78.49198,70
P0149,RT01,DMQ,S033,-0.20488,-78.49078,70
P0150,RT01,DMQ,S033,-0.20445,-78.48996,70
P0151,RT01,DMQ,S033,-0.20401,-78.48912,70
P0152,RT01,DMQ,S033,-0.20366,-78.48843,70
P0153,RT01,DMQ,S033,-0.20328,-78.48768,70
P0154,RT01,DMQ,S033,-0.20297,-78.4872,70
P0155,RT01,DMQ,S033,-0.20255,-78.48677,70
P0156,RT01,DMQ,S034,-0.20222,-78.48649,70
P0157,RT01,DMQ,S034,-0.20121,-78.48564,70
P0158,RT01,DMQ,S034,-0.20035,-78.48517,70
P0159,RT01,DMQ,S034,-0.19924,-78.48452,70
P0160,RT01,DMQ,S034,-0.19809,-78.48396,70
P0161,RT01,DMQ,S034,-0.19728,-78.48355,70
P0162,RT01,DMQ,S034,-0.19627,-78.48303,70
P0163,RT01,DMQ,S034,-0.19503,-78.48243,70
P0164,RT01,DMQ,S034,-0.19405,-78.48196,70
P0165,RT01,DMQ,S034,-0.19335,-78.48165,70
P0166,RT01,DMQ,S034,-0.1926,-78.48133,70
P0167,RT01,DMQ,S035,-0.19188,-78.48108,70
P0168,RT01,DMQ,S035,-0.19122,-78.48087,70
P0169,RT01,DMQ,S035,-0.19069,-78.48094,70
P0170,RT01,DMQ,S035,-0.18987,-78.48086,70
P0171,RT01,DMQ,S035,-0.18923,-78.48047,70
P0172,RT01,DMQ,S035,-0.1887,-78.48022,70
P0173,RT01,DMQ,S035,-0.18798,-78.4799,70
P0174,RT01,DMQ,S035,-0.18707,-78.47953,70
P0175,RT01,DMQ,S035,-0.18619,-78.47932,70
P0176,RT01,DMQ,S035,-0.18529,-78.47915,70
P0177,RT01,DMQ,S035,-0.18435,-78.47899,70
P0178,RT01,DMQ,S035,-0.18366,-78.47889,70
P0179,RT01,DMQ,S035,-0.18295,-78.47881,70
P0180,RT01,DMQ,S035,-0.18231,-78.47871,70
P0181,RT01,DMQ,S035,-0.1816,-78.47859,70
P0182,RT01,DMQ,S035,-0.18058,-78.47846,70
P0183,RT01,DMQ,S035,-0.17991,-78.47837,70
P0184,RT01,DMQ,S035,-0.17915,-78.47825,70
P0185,RT01,DMQ,S036,-0.17848,-78.47814,70
P0186,RT01,DMQ,S036,-0.17767,-78.47795,70
P0187,RT01,DMQ,S036,-0.17701,-78.47782,70
P0188,RT01,DMQ,S036,-0.17604,-78.47759,70
P0189,RT01,DMQ,S036,-0.17534,-78.47738,70
P0190,RT01,DMQ,S036,-0.17473,-78.47722,70
P0191,RT01,DMQ,S036,-0.17402,-78.47704,70
P0192,RT01,DMQ,S036,-0.17326,-78.47686,70
P0193,RT01,DMQ,S036,-0.1726,-78.4767,70
P0194,RT01,DMQ,S036,-0.17183,-78.47647,70
P0195,RT01,DMQ,S036,-0.17112,-78.47626,70
P0196,RT01,DMQ,S036,-0.17009,-78.47617,70
P0197,RT01,DMQ,S036,-0.16891,-78.47616,70
P0198,RT01,DMQ,S036,-0.16789,-78.47595,70
P0199,RT01,DMQ,S036,-0.16699,-78.47577,70
P0200,RT01,DMQ,S036,-0.16605,-78.4756,70
P0201,RT01,DMQ,S036,-0.16535,-78.47545,70
P0202,RT01,DMQ,S036,-0.16455,-78.47529,70
P0203,RT01,DMQ,S037,-0.16393,-78.47518,70
P0204,RT01,DMQ,S037,-0.16277,-78.47549,70
P0205,RT01,DMQ,S037,-0.16186,-78.47598,70
P0206,RT01,DMQ,S037,-0.16107,-78.47641,70
P0207,RT01,DMQ,S037,-0.16017,-78.47691,70
P0208,RT01,DMQ,S037,-0.15951,-78.47723,70
P0209,RT01,DMQ,S037,-0.15871,-78.47725,70
P0210,RT01,DMQ,S037,-0.15752,-78.47713,70
P0211,RT01,DMQ,S037,-0.15668,-78.47703,70
P0212,RT01,DMQ,S037,-0.15587,-78.47696,70
P0213,RT01,DMQ,S038,-0.1551,-78.47689,70
P0214,RT01,DMQ,S038,-0.1537,-78.47681,70
P0215,RT01,DMQ,S038,-0.15265,-78.47656,70
P0216,RT01,DMQ,S038,-0.15184,-78.47636,70
P0217,RT01,DMQ,S038,-0.15073,-78.47607,70
P0218,RT01,DMQ,S038,-0.14987,-78.47584,70
P0219,RT01,DMQ,S038,-0.14842,-78.47547,70
P0220,RT01,DMQ,S038,-0.14724,-78.47517,70
P0221,RT01,DMQ,S038,-0.14653,-78.47497,70
P0222,RT01,DMQ,S038,-0.14584,-78.47482,70
P0223,RT01,DMQ,S038,-0.14517,-78.47471,70
P0224,RT01,DMQ,S038,-0.14404,-78.47456,70
P0225,RT01,DMQ,S038,-0.14307,-78.4744,70
P0226,RT01,DMQ,S038,-0.14207,-78.47422,70
P0227,RT01,DMQ,S038,-0.14107,-78.47407,70
P0228,RT01,DMQ,S038,-0.14009,-78.47385,70
P0229,RT01,DMQ,S038,-0.13923,-78.47364,70
P0230,RT01,DMQ,S038,-0.13803,-78.47338,70
P0231,RT01,DMQ,S039,-0.13687,-78.47347,70
P0232,RT01,DMQ,S039,-0.136,-78.47361,70
P0233,RT01,DMQ,S039,-0.135,-78.47383,70
P0234,RT01,DMQ,S039,-0.13417,-78.4742,70
P0235,RT01,DMQ,S039,-0.13329,-78.4746,70
P0236,RT01,DMQ,S039,-0.13207,-78.47515,70
P0237,RT01,DMQ,S039,-0.13103,-78.47579,70
P0238,RT01,DMQ,S039,-0.12986,-78.47626,70
P0239,RT01,DMQ,S039,-0.12886,-78.47665,70
P0240,RT01,DMQ,S039,-0.12799,-78.4771,70
P0241,RT01,DMQ,S039,-0.12722,-78.4775,70
P0242,RT01,DMQ,S039,-0.12624,-78.478,70
P0243,RT01,DMQ,S039,-0.12538,-78.47833,70
P0244,RT01,DMQ,S039,-0.12419,-78.47846,70
P0245,RT01,DMQ,S039,-0.12311,-78.47854,70
P0246,RT01,DMQ,S039,-0.12179,-78.47898,70
P0247,RT01,DMQ,S040,-0.12116,-78.47994,70
P0248,RT01,DMQ,S040,-0.12009,-78.47995,70
P0249,RT01,DMQ,S040,-0.11931,-78.47985,70
P0250,RT01,DMQ,S040,-0.11417,-78.47915,70
P0251,RT01,DMQ,S040,-0.10911,-78.47813,70
P0252,RT01,DMQ,S041,-0.10668,-78.47647,70
P0253,RT01,DMQ,S041,-0.1048,-78.47508,70
P0254,RT01,DMQ,S041,-0.10265,-78.47351,70
P0255,RT01,DMQ,S041,-0.10157,-78.47274,70
P0256,RT01,DMQ,S041,-0.10049,-78.47192,70
P0257,RT01,DMQ,S042,-0.10019,-78.47188,70
P0258,RT01,DMQ,S042,-0.10069,-78.47224,70
P0259,RT01,DMQ,S042,-0.10118,-78.47262,70
P0260,RT01,DMQ,S042,-0.10192,-78.47316,70
P0261,RT01,DMQ,S042,-0.1031,-78.474,70
P0262,RT01,DMQ,S042,-0.10422,-78.47483,70
P0263,RT01,DMQ,S042,-0.10554,-78.47583,70
P0264,RT01,DMQ,S042,-0.10737,-78.47714,70
P0265,RT01,DMQ,S042,-0.10847,-78.47798,70
P0266,RT01,DMQ,S042,-0.10997,-78.4787,70
P0267,RT01,DMQ,S042,-0.11167,-78.479,70
P0268,RT01,DMQ,S042,-0.11321,-78.47924,70
P0269,RT01,DMQ,S042,-0.11508,-78.47947,70
P0270,RT01,DMQ,S042,-0.11704,-78.47974,70
P0271,RT01,DMQ,S042,-0.1187,-78.47998,70
P0272,RT01,DMQ,S042,-0.12199,-78.48044,70
P0273,RT01,DMQ,S042,-0.12335,-78.48061,70
P0274,RT01,DMQ,S042,-0.12454,-78.48074,70
